2024 Passenger Rank,Airport Code,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q2-2025)
149,AMA,Amarillo,TX,442.60,442.60
150,FCA,Kalispell,MT,439.19,439.19
151,ROA,Roanoke,VA,474.87,474.87
152,BQN,Aguadilla,PR,255.57,255.57
153,CHO,Charlottesville,VA,486.44,486.44
154,MLI,Moline,IL,398.63,398.63
155,RAP,Rapid City,SD,449.97,449.97
156,SBP,San Luis Obispo,CA,509.69,509.69
157,FNT,Flint,MI,205.79,205.79
158,CRP,Corpus Christi,TX,496.71,496.71
159,PAE,Everett,WA,381.42,381.42
160,SHV,Shreveport,LA,463.15,463.15
161,TVC,Traverse City,MI,459.01,459.01
162,BGR,Bangor,ME,390.02,390.02
163,GRB,Green Bay,WI,519.88,519.88
164,BIS,Bismarck/Mandan,ND,444.50,444.50
165,BLI,Bellingham,WA,309.59,309.59
166,AGS,Augusta,GA,548.16,548.16
167,IDA,Idaho Falls,ID,434.86,434.86
168,DAB,Daytona Beach,FL,464.20,464.20
169,JAC,Jackson,WY,510.29,510.29
170,TTN,Trenton,NJ,190.51,190.51
171,GNV,Gainesville,FL,552.66,552.66
172,EYW,Key West,FL,399.49,399.49
173,GPT,Gulfport/Biloxi,MS,447.97,447.97
174,MOB,Mobile,AL,512.08,512.08
175,LFT,Lafayette,LA,546.03,546.03
176,MRY,Monterey,CA,457.27,457.27
177,AVP,Scranton/Wilkes-Barre,PA,457.41,457.41
178,JNU,Juneau,AK,489.06,489.06
179,GJT,Grand Junction,CO,488.85,488.85
180,TRI,Bristol/Johnson City/Kingsport,TN,584.33,584.33
181,MLB,Melbourne,FL,499.57,499.57
182,BRO,Brownsville,TX,441.05,441.05
183,BFL,Bakersfield,CA,533.98,533.98
184,DRO,Durango,CO,537.34,537.34
185,CRW,Charleston/Dunbar,WV,470.99,470.99
186,ASE,Aspen,CO,600.33,600.33
187,BLV,Belleville,IL,122.56,122.56
188,GTF,Great Falls,MT,463.21,463.21
189,EVV,Evansville,IN,462.59,462.59
190,FAY,Fayetteville,NC,482.70,482.70
191,MOT,Minot,ND,436.83,436.83
192,LCK,Columbus,OH,120.08,120.08
193,MGM,Montgomery,AL,509.21,509.21
194,MTJ,Montrose/Delta,CO,447.48,447.48
195,ILG,Wilmington,DE,175.07,175.07
196,LRD,Laredo,TX,430.86,430.86
197,BMI,Bloomington/Normal,IL,456.66,456.66
198,ORH,Worcester,MA,290.37,290.37
199,RFD,Rockford,IL,142.20,142.20
200,STX,Christiansted,VI,344.58,344.58
201,OAJ,Jacksonville/Camp Lejeune,NC,488.58,488.58
202,PSE,Ponce,PR,240.56,240.56
203,SGU,St. George,UT,575.80,575.80
204,EGE,Eagle,CO,580.82,580.82
205,SAF,Santa Fe,NM,541.12,541.12
206,SCE,State College,PA,553.90,553.90
207,ACV,Arcata/Eureka,CA,467.62,467.62
208,DLH,Duluth,MN,549.87,549.87
209,PBG,Plattsburgh,NY,171.63,171.63
210,LAN,Lansing,MI,401.91,401.91
211,HDN,Hayden,CO,490.77,490.77
212,XWA,Williston,ND,578.34,578.34
213,LNK,Lincoln,NE,558.79,558.79
214,USA,Concord,NC,111.44,111.44
215,SWF,Newburgh/Poughkeepsie,NY,161.77,161.77
216,MBS,Saginaw/Bay City/Midland,MI,543.83,543.83
217,HTS,Ashland,WV,211.52,211.52
218,MLU,Monroe,LA,556.88,556.88
219,GRK,Killeen,TX,625.80,625.80
220,LBE,Latrobe,PA,149.72,149.72
221,AZO,Kalamazoo,MI,488.04,488.04
222,HLN,Helena,MT,549.90,549.90
223,ABI,Abilene,TX,602.87,602.87
224,ELM,Elmira/Corning,NY,384.08,384.08
225,CPR,Casper,WY,567.89,567.89
226,BET,Bethel,AK,452.77,452.77
227,ACK,Nantucket,MA,372.77,372.77
228,LCH,Lake Charles,LA,511.42,511.42
229,GFK,Grand Forks,ND,529.95,529.95
230,KTN,Ketchikan,AK,539.19,539.19
231,CWA,Mosinee,WI,566.37,566.37
231,COU,Columbia,MO,628.38,628.38
233,RDD,Redding,CA,488.85,488.85
234,EWN,New Bern/Morehead/Beaufort,NC,521.37,521.37
235,AEX,Alexandria,LA,546.92,546.92
236,LYH,Lynchburg,VA,612.74,612.74
237,MHK,Manhattan/Ft. Riley,KS,585.01,585.01
238,SUN,Sun Valley/Hailey/Ketchum,ID,575.93,575.93
